JenisLomba;Tingkat;Tanggal;Penyelenggara;Prestasi
Pawai Takbir Idul Fitri;Kabupaten;2017-06-25;Pemkab Rohil;Harapan 1
Karnaval HUT RI ke 72;Kabupaten;2017-08-15;Pemkab Rohil;Juara 3
Pawai Takbir Idul Adha;Kabupaten;2017-08-23;Pemkab Rohil;Juara 1
Pencak Silat PSHT Cup 3;Kabupaten;2017-07-09;Pemkab Rohil;Juara 2
Pencak Silat PSHT Cup 3;Kabupaten;2017-07-09;Pemkab Rohil;Juara 3
Kompetisi Sains Madrasah Bidang Biologi ;Kabupaten;2018-05-12;Kemenag Rohil;Juara 1
Kompetisi Sains Madrasah Bidang Geografi;Kabupaten;2018-05-12;Kemenag Rohil;Juara 1
Kompetisi Sains Madrasah Bidang Ekonomi;Kabupaten;2018-05-12;Kemenag Rohil;Juara 1
Kompetisi Sains Madrasah Bidang Matematika;Kabupaten;2018-05-12;Kemenag Rohil;Juara 2
Kompetisi Sains Madrasah Bidang Kimia;Kabupaten;2018-05-12;Kemenag Rohil;Juara 2
Kompetisi Sains Madrasah Bidang Fisika ;Kabupaten;2018-05-12;Kemenag Rohil;Juara 3
Adiwiyata Tingkat Kabupaten;Kabupaten;2018-08-13;Pemkab Rohil;Juara 1
TTG Pramuka;Kabupaten;2018-06-08;Pemkab Rohil;Juara 1
Festival Bagan Heritage;Kabupaten;2018-03-07;Pemkab Rohil;Juara 3
Lomba K3;Kabupaten;2018-08-17;Pemkab Rohil;Juara 1
Pawai Idul Fitri;Kabupaten;2018-06-15;Pemkab Rohil;Juara 1
Lomba Kreatifitas Kerang;Kabupaten;2018-10-01;Pemkab Rohil;Juara 2
Lomba Aubade;Kabupaten;2018-10-04;Pemkab Rohil;Harapan 1
Pawai Idul Adha;Kabupaten;2018-08-22;Pemkab Rohil;Juara 1
Lomba Melukis HUT PGRI;Kabupaten;2018-11-26;PGRI;Juara 2
Pencak Silat PSHT Cup 4;Kabupaten;2018-11-16;Pemkab Rohil;Juara 2
Pencak Silat PSHT Cup 4;Kabupaten;2018-11-16;Pemkab Rohil;Juara 3
Karnaval Hari Pahlawan;Kabupaten;2018-11-10;Pemkab Rohil;Juara 3
Lomba Sholat Jenazah;Kecamatan;2018-12-18;PD.Jamiatul Al-Wasliyah;Juara 1
Lomba PBB HUT TNI ke 74;Kabupaten;2019-12-23;Pemkab Rohil;Juara 3
Kompetisi Sains Madrasah Bidang Biologi ;Kabupaten;2019-07-20;Kemenag Rohil;Juara 1
Kompetisi Sains Madrasah Bidang Matematika;Kabupaten;2019-07-20;Kemenag Rohil;Juara 1
Kompetisi Sains Madrasah Bidang Fisika ;Kabupaten;2019-07-20;Kemenag Rohil;Juara 2
Kompetisi Sains Madrasah Bidang Geografi;Kabupaten;2019-07-20;Kemenag Rohil;Juara 2
Kompetisi Sains Madrasah Bidang Matematika;Kabupaten;2019-07-20;Kemenag Rohil;Juara 3
Kompetisi Sains Madrasah Bidang Ekonomi;Kabupaten;2019-07-20;Kemenag Rohil;Juara 3
Pawai Takbir Idul Fitri;Kabupaten;2019-06-05;Kemenag Rohil;Juara 1
Inmas Award Kategori Video Kreatif Madrasah;Provinsi;2019-02-28;Kemenag Riau;Juara 2
Lomba Pidato Tingkat SMA/SMK/MA Sederajat;Kabupaten;2019-09-25;Pemkab Rohil;Juara 2
Pawai Takbir Idul Adha;Kabupaten;2019-08-11;Pemkab Rohil;Juara 1
Lomba Senam Kreasi Tingkat SMA Sederajat;Kabupaten;2019-07-29;DIKPORA Kabupaten Rohil;Juara 3
Lomba Adzan Tingkat SMA/SMK/MA Sederajat;Provinsi;2019-04-29;UKMI Ar-Ruhul Jadid PCR;Juara 1
Lomba Syarhil Qur'an SMA/SMK/MA Sederajat;Provinsi;2019-04-29;UKMI Ar-Ruhul Jadid PCR;Juara 1
Adiwiyata Tingkat Provinsi;Provinsi;2019-11-27;Pemerintah Provinsi Riau;Juara 1
Pencak Silat PSHT Cup 5;Kabupaten;2019-12-06;Pemkab Rohil;Juara 2
Lomba Lintas Alam Pramuka;Kabupaten;2019-08-30;Pemkab Rohil;Juara 3
